ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,datetime,hour
2025-11-14 17:00:00+00:00,34,2,3572,921.42,925.89,920.45,924.59,26370,COST,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,7152,277.85,278.35,276.86,277.25,576499,GOOGL,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,16244,409.08,410.49,406.55,409.04,1586536,TSLA,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,9113,195.52,196.37,195.47,196.26,96509,JNJ,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,9155,305.62,306.38,305.28,305.66,74367,JPM,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,16727,331.96,332.22,330.8,331.165,77947,V,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,16009,582.3,584.27,581.82,583.55,7986,TMO,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,168,247.61,248.12,246.84,247.14,14279,ACN,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,853,237.85,238.28,236.37,236.61,639020,AMZN,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,17709,118.84,119.06,118.56,118.99,188305,XOM,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,10888,510.46,511.41,508.075,508.31,336598,MSFT,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,9928,1029.69,1033.25,1028.865,1030.64,44035,LLY,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,2306,510.38,511.04,509.58,510.37,23894,BRK.B,2025-11-14 17:00:00+00:00,17
